case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
akkadian_-2350_-2325,Akkadian Empire,ancient,Mesopotamia,-2350,-2325,25,stable,0,0,0,1,1,0,1,9,9,0,9,9,9,0,0,1,0,9,2,9,9,9,9,9,0,1,0,2,0,1,3,3,2,3,low,2,"The empire is expanding and still resilient, though its reach already depends on military coercion and broad resource control."
akkadian_-2325_-2300,Akkadian Empire,ancient,Mesopotamia,-2325,-2300,25,stable,0,0,0,1,1,0,1,9,9,0,9,9,9,0,0,1,0,9,2,9,9,9,9,9,0,1,0,2,0,1,3,3,2,3,low,2,"The empire is expanding and still resilient, though its reach already depends on military coercion and broad resource control."
akkadian_-2300_-2275,Akkadian Empire,ancient,Mesopotamia,-2300,-2275,25,stressed,1,0,1,2,1,1,2,9,9,1,9,9,9,1,1,2,1,9,3,1,9,9,9,9,1,2,2,3,1,2,2,2,2,2,low,3,"Imperial overextension, elite conflict, and dependence on northern zones and exchange networks create growing strain."
akkadian_-2275_-2250,Akkadian Empire,ancient,Mesopotamia,-2275,-2250,25,stressed,1,0,1,2,1,1,2,9,9,1,9,9,9,1,1,2,1,9,3,1,9,9,9,9,1,2,2,3,1,2,2,2,2,2,low,3,"Imperial overextension, elite conflict, and dependence on northern zones and exchange networks create growing strain."
akkadian_-2250_-2225,Akkadian Empire,ancient,Mesopotamia,-2250,-2225,25,decline,2,0,2,2,1,2,2,2,2,2,9,1,9,2,2,2,2,9,3,1,1,9,9,9,2,1,2,3,2,2,1,1,1,2,low,4,"Late-apogee strain raises conflict, overextension, and early agrarian-climate stress without full imperial breakdown yet."
akkadian_-2225_-2200,Akkadian Empire,ancient,Mesopotamia,-2225,-2200,25,decline,2,1,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,3,2,2,9,9,1,2,2,2,3,2,2,1,1,1,1,low,4,"Northern contraction, agrarian stress, and exchange disruption deepen as the empire loses coherence."
akkadian_-2200_-2175,Akkadian Empire,ancient,Mesopotamia,-2200,-2175,25,collapse,3,0,3,2,3,2,3,2,2,2,9,2,9,3,3,2,2,9,2,2,2,9,9,1,2,3,2,3,3,2,1,1,1,1,low,5,"Political fragmentation, succession crisis, external pressure, and climate-linked agrarian stress combine in terminal imperial collapse."
akkadian_-2175_-2150,Akkadian Empire,ancient,Mesopotamia,-2175,-2150,25,post-collapse,3,0,3,2,1,2,2,9,9,1,9,2,9,2,2,9,2,9,2,9,9,9,9,9,1,2,1,2,3,2,1,1,1,1,low,3,"The Akkadian imperial system is gone, though regional continuity persists beyond the empire itself."
aztec_1400_1425,Aztec Empire,premodern,Mesoamerica,1400,1425,25,stable,0,0,0,1,1,0,1,9,1,0,9,9,9,0,0,1,0,9,1,9,9,9,9,9,0,1,0,1,0,1,3,3,1,3,medium,3,The imperial core consolidates with low acute collapse indicators and strong logistical capacity.
aztec_1425_1450,Aztec Empire,premodern,Mesoamerica,1425,1450,25,stable,0,0,0,1,1,0,1,9,1,0,9,9,9,0,0,1,0,9,1,9,9,9,9,9,0,1,0,1,0,1,3,3,1,3,medium,3,The imperial core consolidates with low acute collapse indicators and strong logistical capacity.
aztec_1450_1475,Aztec Empire,premodern,Mesoamerica,1450,1475,25,stressed,1,0,1,2,1,1,2,9,2,1,9,9,9,1,1,2,1,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,medium,4,"A coercive tributary empire expands, but subject resentment and weak alliance loyalty create latent fragility."
aztec_1475_1500,Aztec Empire,premodern,Mesoamerica,1475,1500,25,stressed,1,1,1,2,1,1,2,9,2,1,9,9,9,1,1,2,1,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,medium,4,"A coercive tributary empire expands, but subject resentment and weak alliance loyalty create latent fragility."
