case_id,case_name,period_start,period_end,factors_filled_count,unknown_9_count,phase_label,collapse_outcome,collapse_within_next_window,data_confidence,notes
akkadian_-2350_-2325,Akkadian Empire,-2350,-2325,32,11,stable,0,0,low,"The empire is expanding and still resilient, though its reach already depends on military coercion and broad resource control."
akkadian_-2325_-2300,Akkadian Empire,-2325,-2300,32,11,stable,0,0,low,"The empire is expanding and still resilient, though its reach already depends on military coercion and broad resource control."
akkadian_-2300_-2275,Akkadian Empire,-2300,-2275,32,10,stressed,1,0,low,"Imperial overextension, elite conflict, and dependence on northern zones and exchange networks create growing strain."
akkadian_-2275_-2250,Akkadian Empire,-2275,-2250,32,10,stressed,1,0,low,"Imperial overextension, elite conflict, and dependence on northern zones and exchange networks create growing strain."
akkadian_-2250_-2225,Akkadian Empire,-2250,-2225,32,6,decline,2,0,low,"Late-apogee strain raises conflict, overextension, and early agrarian-climate stress without full imperial breakdown yet."
akkadian_-2225_-2200,Akkadian Empire,-2225,-2200,32,5,decline,2,1,low,"Northern contraction, agrarian stress, and exchange disruption deepen as the empire loses coherence."
akkadian_-2200_-2175,Akkadian Empire,-2200,-2175,32,5,collapse,3,0,low,"Political fragmentation, succession crisis, external pressure, and climate-linked agrarian stress combine in terminal imperial collapse."
akkadian_-2175_-2150,Akkadian Empire,-2175,-2150,32,11,post-collapse,3,0,low,"The Akkadian imperial system is gone, though regional continuity persists beyond the empire itself."
aztec_1400_1425,Aztec Empire,1400,1425,32,10,stable,0,0,medium,The imperial core consolidates with low acute collapse indicators and strong logistical capacity.
aztec_1425_1450,Aztec Empire,1425,1450,32,10,stable,0,0,medium,The imperial core consolidates with low acute collapse indicators and strong logistical capacity.
aztec_1450_1475,Aztec Empire,1450,1475,32,9,stressed,1,0,medium,"A coercive tributary empire expands, but subject resentment and weak alliance loyalty create latent fragility."
aztec_1475_1500,Aztec Empire,1475,1500,32,9,stressed,1,1,medium,"A coercive tributary empire expands, but subject resentment and weak alliance loyalty create latent fragility."
aztec_1500_1525,Aztec Empire,1500,1525,32,7,collapse,3,0,medium,"Spanish-indigenous coalition warfare, epidemic shock, and subject-polity defection collapse the empire rapidly."
bronze_age_-1300_-1275,Bronze Age Collapse States,-1300,-1275,32,13,stable,0,0,low,"A highly interconnected palace world persists, but its complexity already depends on vulnerable exchange and administrative systems."
